StopID_Route,WhiteAlone,BlackorAfricanAmericanAlone,AmericanIndianandAlaskaNativealone,AsianAlone,HawaiianPacificIslander,OtherRace,TwoPlusRaces,Owner occupied,Renter occupied,Age15to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85andOver,tot_blk_area_sq_mi,areaPcBlockInStop
7792-35,232.32825125627696,19.45177670038094,0.9909030121670206,7.482827450269395,0.0,3.0920164240874217,2.3797143609390985,214.65270342540975,51.072785778711115,8.466694959111278,43.46664158783498,59.0789622526865,69.60624430544095,37.520563233665314,26.604942616402877,13.433886102017436,5.100995983043388,2.4465581639181253,0.17272700000000005,4.367840869756534
7802-38,161.1719622546069,14.669147794763191,1.0368851191365003,7.531600380940755,0.0,3.269754341692015,9.613707539412232,85.1820982875137,112.11095914303789,21.908252036008555,48.222901636798724,42.3020277327907,38.87699907872271,11.285714960321114,7.4405296875826545,11.237856350278545,14.21544092226109,1.8033350257874814,0.17276400000000003,6.969538791254644
7812-32,247.96999356433602,5.607332718393097,1.361314777697248,1.00049619826464,0.0,1.6967987140041267,0.43143465794180064,236.02739703069875,22.039973599938254,1.614987235916739,36.35641654549518,39.99864531460297,47.993497949614344,38.02411132835125,28.50670088585633,39.734940155945644,20.043805018911915,5.7942661959425985,0.172708,5.578023818544758
7814-33,150.80122020121524,11.042865602261665,1.0,2.523249212997248,0.0,1.4384564720849922,1.36218359277048,148.93629550250023,19.231679578829375,1.448620545329299,25.980845955984158,34.2453582533463,33.54184269774313,13.465733622375085,13.26512584393136,25.468447904608123,14.442207909250666,6.309792348761493,0.17267600000000002,10.96470648184009
7815-39,1.5557003861003857,0.008285516422635536,0.0,0.0,0.0,0.0,0.0,1.2964169884169883,0.2675689141060332,0.0,1.0371335907335906,0.25928339768339764,0.0,0.0,0.008285516422635536,0.25928339768339764,0.0,0.0,0.17277299999999995,3.45502253049035
782-4,247.47013988144593,146.40851167934758,5.942967295787559,92.43824156282969,0.0,72.18938845261529,29.334588869413732,138.6809271135978,455.102910627842,57.98213224966599,163.93308844298963,128.68459361168053,127.48611557158583,45.178350127366365,30.40991526870805,29.6808306060741,9.415770399764982,1.0130414636044163,0.17282300000000003,10.968228291177981
782-40,247.47013988144593,146.40851167934758,5.942967295787559,92.43824156282969,0.0,72.18938845261529,29.334588869413732,138.6809271135978,455.102910627842,57.98213224966599,163.93308844298963,128.68459361168053,127.48611557158583,45.178350127366365,30.40991526870805,29.6808306060741,9.415770399764982,1.0130414636044163,0.17282300000000003,10.968228291177981
7823-16,223.59185980861756,0.0,0.0,1.2476611414573093,1.0000918273645545,2.3394064217071513,1.6724607355401608,213.73911181369638,16.112368120990276,2.6686671392633707,30.75409054846904,41.15453321055301,52.21944736539052,28.714393236207076,29.17896969844705,15.407596385574696,20.271539990330496,9.482242360451442,0.17271599999999998,8.5307792601631
7825-32,238.73831539854058,7.246030970095632,2.0932902563276863,2.8640827005249934,0.0,9.602700359254237,3.2150663005367828,212.4636761593839,51.29580982589596,8.741986416523499,28.84175163758973,34.214446449643916,49.52034931569708,27.34270090937536,29.838616691166706,51.756767970741976,24.37910813453646,9.12375846000511,0.17269600000000002,3.9187112912614466
7825-35,238.73831539854058,7.246030970095632,2.0932902563276863,2.8640827005249934,0.0,9.602700359254237,3.2150663005367828,212.4636761593839,51.29580982589596,8.741986416523499,28.84175163758973,34.214446449643916,49.52034931569708,27.34270090937536,29.838616691166706,51.756767970741976,24.37910813453646,9.12375846000511,0.17269600000000002,3.9187112912614466
7829-38,214.58416939896284,6.788915365217714,1.5298232622055963,1.4561392359123377,0.0,3.588860097616386,2.5712363225306416,208.86566240307522,21.653481279370315,0.5877453945939921,48.768580605102805,38.57296561222444,53.01456971803108,26.572030935122353,18.057460540459346,20.670528521320236,17.09960135477899,7.1756610008122585,0.17268499999999995,9.352677238905681
