ZONING_COD,StopID,Route,area_sq_mi
CN,455,12,0.001264845
CN,455,13,0.001264845
CN,455,14,0.001264845
CN,455,15,0.001264845
CN,455,19,0.001264845
CN,455,27,0.001264845
CN,455,28,0.001264845
CN,455,29,0.001264845
CN,455,37,0.001264845
CN,455,38,0.001264845
CN,455,47,0.001264845
CN,455,56,0.001264845
CN,455,57,0.001264845
CN,455,58,0.001264845
CN,455,70,0.001264845
CN,455,71,0.001264845
CN,455,72,0.001264845
CN,483,6,0.001264845
CN,483,13,0.001264845
CN,538,6,0.001264845
CN,538,47,0.001264845
CN,538,82,0.001264845
CN,546,13,0.001264845
CN,546,47,0.001264845
CN,548,6,0.00125601
CN,548,82,0.00125601
CN,561,6,0.001264845
CN,561,48,0.001264845
CN,608,27,0.001264845
CN,739,4,0.001264845
CN,739,44,0.001264845
CN,741,1,0.000861829
CN,741,2,0.000861829
CN,741,3,0.000861829
CN,741,10,0.000861829
CN,741,11,0.000861829
CN,741,12,0.000861829
CN,741,14,0.000861829
CN,741,15,0.000861829
CN,741,19,0.000861829
CN,741,27,0.000861829
CN,741,28,0.000861829
CN,741,29,0.000861829
CN,741,37,0.000861829
CN,741,38,0.000861829
CN,741,44,0.000861829
CN,741,48,0.000861829
CN,741,56,0.000861829
CN,741,57,0.000861829
CN,741,58,0.000861829
CN,741,70,0.000861829
CN,741,71,0.000861829
CN,741,72,0.000861829
CN,741,82,0.000861829
CN,773,44,1.13973E-06
CN,837,4,0.001264845
CN,837,44,0.001264845
CN,841,4,0.001264845
CN,841,44,0.001264845
CN,962,6,0.001264845
CN,962,82,0.001264845
PD,418,5,0.001074844
PD,418,27,0.001074844
PD,418,47,0.001074844
PD,418,75,0.001074844
PD,469,5,0.001074844
PD,469,27,0.001074844
PD,469,47,0.001074844
PD,469,75,0.001074844
PD,473,5,0.000365574
PD,473,27,0.000365574
PD,473,47,0.000365574
PD,473,75,0.000365574
PD,512,5,0.000880228
PD,512,27,0.000880228
PD,512,47,0.000880228
PD,512,75,0.000880228
